No	Na	x	y	z	Cl	x	y	z
158	21.027103	13.828066	-0.885874	15.815780	8.013164	1.478356	5.511591	-5.625622
159	7.216732	5.232256	-4.538996	2.025395	17.470005	-1.905246	0.826717	17.346113
160	18.546376	6.013302	9.964383	14.440199	18.156216	9.654947	-13.182950	7.914543
161	19.829002	-7.449745	-17.616322	-5.230280	13.864484	10.396564	5.735009	-7.158563
162	24.584314	-14.042007	3.851629	-19.808470	22.258041	-21.486704	-5.686755	1.184387
163	26.183384	-15.528367	-19.129951	-8.859141	6.629090	0.929958	-6.465138	-1.132255
164	34.213171	-32.057167	-5.149855	-10.786942	17.837347	17.188086	-2.364433	4.141270
165	14.672291	-2.997038	-11.515096	-8.584664	6.013140	-3.790344	0.521684	-4.638856
166	16.685014	-15.096093	4.446498	5.543134	12.170433	4.692831	-8.885409	6.866315
167	27.208868	7.361864	-26.193977	-0.031993	21.040627	-14.580643	-7.580358	-13.139674
168	14.652698	-4.921679	6.771817	12.025852	6.336586	-2.948528	-2.425659	5.057142
169	22.930611	-16.684233	14.636310	5.764351	23.020813	-14.594022	-8.455773	-15.667555
170	4.506740	3.019229	3.285053	0.635126	18.952019	17.905455	3.150129	-5.352606
171	25.703765	-19.656324	9.851095	13.314217	25.286764	10.154425	22.605097	5.031670
172	21.900659	21.237820	5.121055	1.539053	19.836526	12.461317	-0.702327	-15.417850
173	14.052133	9.412442	-1.294660	10.353368	7.477233	-3.201083	1.681542	-6.544806
174	24.060042	17.274508	-4.151618	16.224707	11.133925	6.809380	-6.212875	-6.244742
175	22.063471	-11.975393	18.473236	-1.458172	12.152118	-1.168337	-6.830053	9.982952
176	11.794445	9.333980	-7.128366	-1.082658	23.405546	11.356194	-19.689684	5.583258
177	20.509472	-10.276517	-7.293153	16.181519	12.228586	-12.066613	0.674239	1.865630
178	13.676588	9.039384	6.043499	8.295464	9.528552	-2.858160	-0.244903	-9.086487
179	22.981868	12.170368	-1.921175	19.399935	8.646941	-3.057379	4.642255	-6.623556
180	18.924181	11.749416	-12.841815	7.427222	32.060672	27.979485	-6.892071	-14.054697
181	28.761626	24.544498	-5.924449	-13.773149	10.218715	6.508522	7.842127	0.749885
182	25.229800	9.338984	17.986712	15.026790	4.233805	-0.407435	4.159780	0.674780
183	42.698958	28.765308	-25.910748	18.010864	20.367439	10.080163	1.365592	-17.645340
184	14.020260	-3.469041	2.333405	13.382401	3.436165	-1.665173	-0.873390	-2.876043
185	14.631368	3.195090	2.118997	-14.120134	14.765567	14.158758	-1.834781	-3.766315
186	15.903788	-1.758804	-14.090075	7.162880	8.829252	4.065632	-6.868627	-3.774692
187	27.777420	-10.497943	16.242580	-19.938828	12.229837	11.843636	0.071768	3.048286
188	27.696009	5.003876	4.738398	26.824945	13.872131	-4.169706	-13.230581	-0.035958
189	10.562320	6.038656	-3.426148	-7.959821	7.401490	-0.841126	-1.487348	7.201553
190	19.955264	10.350283	-11.931612	-12.195115	24.101781	-8.800736	17.302000	14.285787
191	22.447310	5.666881	16.703100	-13.884331	21.652151	10.931939	-14.588594	-11.682520
192	22.562212	4.648204	19.849939	-9.665791	6.518357	-3.646673	-3.806027	-3.834699
193	12.277479	-7.561427	0.684679	-9.648447	12.406122	-4.601883	-10.955472	3.565412
194	17.347202	13.478975	-0.908361	10.881982	6.180114	1.702012	-5.399652	-2.478050
195	21.558986	-13.192962	-11.224061	12.835735	16.845469	12.444164	-8.723701	7.267025
196	7.320906	-4.682556	-5.562705	-0.851853	13.327000	11.073144	0.108981	7.415021
197	18.912150	0.839974	8.335908	16.955132	2.754851	2.396081	-0.975381	-0.946904
198	34.739558	-28.642065	-15.006824	12.698987	16.526852	-15.718110	3.249949	-3.938993
199	14.423797	10.183037	4.822079	-9.005511	13.248517	-11.018580	-2.557029	6.897513
200	30.715893	28.277061	-11.966445	-0.823444	21.927128	21.683064	0.923955	-3.128898
201	4.733084	-1.144987	-3.062615	-3.422204	13.727727	13.136224	-2.478719	3.121869
202	29.419525	20.123745	-20.069433	-7.600079	25.221065	-10.472095	-22.933016	0.717032
203	26.501201	12.549220	11.222137	20.466909	9.938463	2.152692	-7.431155	6.238341
204	33.057396	24.528471	11.950076	18.663902	12.057277	-5.863661	-9.338930	-4.876453
205	30.070582	2.324609	-27.455639	-12.042590	15.690356	13.081044	3.480520	7.934705
206	25.102154	3.516097	22.605837	-10.331085	6.264594	-4.493519	-2.185334	-3.778590
207	11.314120	9.542983	0.990764	-5.996597	10.370772	-7.566629	7.089122	0.208287
208	24.876755	24.032173	3.138394	-5.608749	21.509645	18.733515	-7.242707	7.698275
209	25.560825	-2.998676	7.752452	-24.171537	5.052121	1.252815	-4.409766	2.123287
210	1.629719	0.969751	-0.199481	-1.294518	20.853047	-0.875762	-15.466760	-13.959296
211	15.087041	2.604046	-8.029198	12.504788	11.453357	-2.755027	-3.582159	10.524132
212	13.059466	-5.309620	-11.603205	-2.779069	9.994225	3.657815	-6.618919	-6.534129
213	29.476033	-0.156219	7.063261	28.616821	16.478085	4.444413	15.667133	-2.513051
214	14.427938	-9.377215	10.956419	-0.436008	4.846340	1.788719	-3.380660	2.976345
215	7.243907	1.060070	7.132008	0.696354	7.638219	2.228911	-6.731090	-2.840207
216	9.211556	2.855854	8.700101	1.002550	8.934785	-6.984571	-0.000157	-5.571907
217	23.248892	-15.547587	17.245625	1.171299	23.284901	19.798672	11.296560	-4.752570
218	18.165165	-10.248670	13.937504	-5.539310	26.583817	-8.341813	25.239279	0.303754
219	19.390578	12.425253	13.061518	-7.141733	24.770567	10.410296	15.971987	15.814625
220	17.865083	13.654430	-3.253547	11.051342	11.215656	-7.529331	-3.732746	7.427431
221	28.429731	8.047297	-26.277657	-7.278418	18.266544	-11.588811	12.556911	-6.456784
222	15.920554	-3.652564	-10.281376	-11.593797	16.343717	4.723234	9.693412	12.281934
223	31.483614	-0.258010	5.151975	-31.058147	26.049589	-8.062483	-10.553035	22.410063
224	7.806462	-4.716269	5.782423	2.293740	30.231082	17.113241	0.552811	24.914848
225	16.535972	1.924418	-1.720589	-16.333235	19.225861	8.988150	14.983045	8.022174
226	29.063755	-12.011614	13.114795	22.987499	13.533305	9.479463	4.353030	-8.622138
227	7.755579	-3.357721	3.751626	5.899155	17.688368	-0.751796	-10.543100	14.182955
