No	Na_eng	Na_rad	Cl_eng	Cl_rad
1463	0.017979	0.577264	0.014022	0.799222
1464	0.016836	0.577250	0.011860	0.799186
1465	0.014371	0.577220	0.013171	0.799208
1466	0.019602	0.577284	0.010314	0.799160
1467	0.015456	0.577234	0.023092	0.799376
1468	0.009572	0.577162	0.009285	0.799142
1469	0.009789	0.577164	0.016380	0.799262
1470	0.009397	0.577160	0.016904	0.799271
1471	0.022645	0.577321	0.020927	0.799339
1472	0.017411	0.577257	0.014227	0.799226
1473	0.022584	0.577321	0.029948	0.799492
1474	0.012128	0.577193	0.015568	0.799248
1475	0.010037	0.577167	0.009285	0.799142
1476	0.021001	0.577301	0.013698	0.799217
1477	0.007114	0.577132	0.009606	0.799148
1478	0.013727	0.577213	0.016163	0.799258
1479	0.017502	0.577259	0.017601	0.799283
1480	0.010345	0.577171	0.004618	0.799063
1481	0.012149	0.577193	0.005364	0.799076
1482	0.011490	0.577185	0.009505	0.799146
1483	0.010406	0.577172	0.011825	0.799185
1484	0.015868	0.577239	0.011277	0.799176
1485	0.022405	0.577318	0.026315	0.799430
1486	0.031660	0.577431	0.021019	0.799341
1487	0.009308	0.577159	0.020224	0.799327
1488	0.018632	0.577272	0.018425	0.799297
1489	0.020995	0.577301	0.011651	0.799182
1490	0.016443	0.577246	0.019275	0.799311
1491	0.016038	0.577241	0.023621	0.799385
1492	0.018268	0.577268	0.015267	0.799243
1493	0.019106	0.577278	0.015533	0.799248
1494	0.014405	0.577221	0.012346	0.799194
1495	0.010167	0.577169	0.012170	0.799191
1496	0.021999	0.577313	0.030459	0.799500
1497	0.017340	0.577257	0.017572	0.799282
1498	0.015382	0.577233	0.019508	0.799315
1499	0.011482	0.577185	0.024441	0.799398
1500	0.011891	0.577190	0.018074	0.799291
1501	0.010811	0.577177	0.015259	0.799243
1502	0.016188	0.577243	0.033242	0.799547
1503	0.028239	0.577390	0.025780	0.799421
1504	0.021148	0.577303	0.012125	0.799190
1505	0.020642	0.577297	0.023585	0.799384
1506	0.027996	0.577387	0.019419	0.799313
1507	0.011385	0.577184	0.008572	0.799130
1508	0.019954	0.577289	0.012179	0.799191
1509	0.006173	0.577120	0.021630	0.799351
1510	0.020772	0.577299	0.013822	0.799219
1511	0.017395	0.577257	0.018715	0.799302
1512	0.016693	0.577249	0.020528	0.799332
1513	0.008847	0.577153	0.020495	0.799332
1514	0.013167	0.577206	0.009002	0.799137
1515	0.020334	0.577293	0.009693	0.799149
1516	0.007565	0.577137	0.016710	0.799268
1517	0.009175	0.577157	0.014381	0.799228
1518	0.017369	0.577257	0.013990	0.799222
1519	0.018447	0.577270	0.016364	0.799262
1520	0.010847	0.577177	0.017517	0.799281
1521	0.020305	0.577293	0.014295	0.799227
1522	0.020265	0.577292	0.023629	0.799385
1523	0.017535	0.577259	0.021556	0.799350
1524	0.011383	0.577184	0.015402	0.799246
1525	0.024771	0.577347	0.009215	0.799141
1526	0.014154	0.577218	0.007405	0.799110
1527	0.017310	0.577256	0.011598	0.799181
1528	0.021703	0.577310	0.008738	0.799133
1529	0.005819	0.577116	0.020397	0.799330
1530	0.013316	0.577208	0.008945	0.799137
1531	0.018032	0.577265	0.027009	0.799442
1532	0.009516	0.577161	0.021811	0.799354
1533	0.008630	0.577150	0.019161	0.799309
1534	0.008526	0.577149	0.016660	0.799267
1535	0.019210	0.577279	0.017511	0.799281
1536	0.025655	0.577358	0.012670	0.799199
1537	0.012874	0.577202	0.008898	0.799136
1538	0.009489	0.577161	0.013100	0.799207
1539	0.009169	0.577157	0.011904	0.799187
1540	0.030479	0.577417	0.016839	0.799270
1541	0.016767	0.577250	0.020253	0.799328
