r	Na-Na	Na-Cl	Cl-Cl
7.650000	1.539979	0.953134	1.531716
7.670000	2.290441	0.956129	2.510999
7.690000	1.558562	0.957546	1.531715
7.710000	1.190206	0.959841	1.139675
7.730000	1.064230	0.960409	1.045817
7.750000	1.020889	0.967718	1.013939
7.770000	0.996331	0.973602	0.991842
7.790000	0.982370	0.986053	0.979592
7.810000	0.972698	1.009135	0.972525
7.830000	0.970539	1.075519	0.966978
7.850000	0.958926	1.293120	0.963953
7.870000	0.958302	1.971673	0.956099
7.890000	0.960071	1.445959	0.956257
7.910000	0.957656	1.107287	0.951787
7.930000	0.953981	1.018553	0.949611
7.950000	0.948089	0.991852	0.946566
7.970000	0.947904	0.973514	0.948416
7.990000	0.946509	0.962860	0.946217
